permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,total_new_add_footage,total_job_valuation,dd,legal_description,lat,lng
2015-072662 BP,R- 101 Single Family Houses,New,2309 WILLISTON LOOP,6/17/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3791,332284.68,1,,30.14213844,-97.85131493
2015-019359 BP,R- 101 Single Family Houses,New,2117 WILLISTON LOOP,2/19/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Final,4898,421032,1,,30.14216288,-97.8499845
2015-033550 BP,R- 101 Single Family Houses,New,2312 WILLISTON LOOP,3/30/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT**",Active,2873,242506,1,,30.14219721,-97.85175393
2015-074014 BP,R- 101 Single Family Houses,New,2305 WILLISTON LOOP,6/19/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3320,279541,1,,30.14227492,-97.85119579
2015-038263 BP,R- 101 Single Family Houses,New,2112 WILLISTON LOOP,4/6/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,2665,204439,1,,30.14234196,-97.84959444
2015-105842 BP,R- 102 Secondary Apartment,New,5717 LITTLE THEATER BND,9/3/2015,"New accesory structure in rear yard. 1 bedroom, 1 bath.",Active,220,8640,0,LOT 25 BLK U BRADSHAW CROSSING SUBD SEC 10,30.14248292,-97.76696025
2015-119590 BP,R- 101 Single Family Houses,New,2300 WILLISTON LOOP,10/2/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,2861,114840,1,,30.14266576,-97.8514831
2015-043722 BP,R- 101 Single Family Houses,New,2208 WILLISTON LOOP,4/17/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,2841,239066,1,,30.14271921,-97.85066126
2015-033522 BP,R- 101 Single Family Houses,New,2224 WILLISTON LOOP,3/30/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT**",Active,2527,209369,1,,30.14284651,-97.85142615
2015-055411 BP,R- 101 Single Family Houses,New,2216 WILLISTON LOOP,5/11/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,3304,378837,1,,30.14285573,-97.8510377
2015-108203 BP,R- 438 Residential Retaining Wall,New,10004 DEER CHASE TRL,9/8/2015,New retaining wall to cross 4 total properties.,Active,,37443,,LOT 24 BLK T BRADSHAW CROSSING SUBD SEC 11,30.14298108,-97.7654094
2015-107765 BP,R- 101 Single Family Houses,New,10008 EPIC KNOLL DR,9/14/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2917,94700,1,LOT 3 BLK T BRADSHAW CROSSING SUBD SEC 10,30.14395019,-97.76786652
2015-066790 BP,C- 327 Stores & Customer Services,New,100 W FM 1626 RD,6/29/2015,New Construction of Food Sales and New Fuel Canopy only; the fuel stations and the tanks will be approved at later date under a separate Permit.,Active,4000,741000,1,LOT 1 MEADOWS AT DOUBLE CREEK RESUB LOT 14 BLK D,30.14430401,-97.80615304
2015-066791 BP,C- 327 Stores & Customer Services,New,100 W FM 1626 RD,6/29/2015,New Construction of Food Sales and New Fuel Canopy only; the fuel stations and the tanks will be approved at later date under a separate Permit.,Active,3168,741000,1,LOT 1 MEADOWS AT DOUBLE CREEK RESUB LOT 14 BLK D,30.14430401,-97.80615304
2015-004210 BP,R- 101 Single Family Houses,New,12625 BLACK HILLS DR,1/16/2015,**COC**new 4 bedroom 2 bathroom 1 story residence,Final,2689,310000,1,,30.14590487,-97.85320599
2015-049526 BP,R- 101 Single Family Houses,New,2509 TREMOLO PASS,5/7/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Active,2164,179800,1,,30.14661862,-97.85141851
2015-145628 BP,R- 101 Single Family Houses,New,2500 TREMOLO PASS,12/14/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2732,171800,1,,30.1467869,-97.8515399
2015-145652 BP,R- 101 Single Family Houses,New,2504 TREMOLO PASS,12/14/2015,"***12/07/15 need water taps***New 1-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2089,140800,1,,30.1467869,-97.8515399
2015-145668 BP,R- 101 Single Family Houses,New,2513 TREMOLO PASS,12/14/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio, covered balcony. **CONDOMINIUM RESIDENCE**",Active,2531,159100,1,,30.1467869,-97.8515399
2015-145707 BP,R- 101 Single Family Houses,New,2512 TREMOLO PASS,12/14/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio, covered balcony. **CONDOMINIUM RESIDENCE**",Active,2534,160400,1,,30.1467869,-97.8515399
2015-115709 BP,"C- 318 Amusement, Social & Rec Bldgs",New,12529 GRAY CAMLET LN,9/25/2015,New Amenity Center for Private Recreation center,Active,1138,365000,1,,30.14695652,-97.85090832
2015-115710 BP,C- 329 Com Structures Other Than Bldg,New,12529 GRAY CAMLET LN,9/25/2015,New Swimming Pool for Private Recreation center,Active,1400,50000,0,,30.14695652,-97.85090832
2015-049511 BP,R- 101 Single Family Houses,New,2505 HOPSACK MILLS RD,5/7/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,3109,151100,1,,30.14711539,-97.85160837
2015-020499 BP,R- 101 Single Family Houses,New,12525 GRAY CAMLET LN,3/12/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Active,2305,151200,1,,30.14714385,-97.85097979
2015-018143 BP,R- 101 Single Family Houses,New,2513 HOPSACK MILLS RD,3/12/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Active,2305,151200,1,,30.1472483,-97.85199249
2015-026407 BP,R- 329 Res Structures Other Than Bldg,New,12300 LOSTWOOD CIR,3/10/2015,Inground swimming pool & spa w/ req'd enclosure device for existing 1 story SF res,Expired,775,70000,1,"Lot: 3 Block: D Subdivision: BRIDGES AT BEAR CREEK PHASE 2, SEC 1 (AKA DAKOTA SPRINGS)",30.147388,-97.85673638
2015-018096 BP,R- 101 Single Family Houses,New,2504 HOPSACK MILLS RD,3/12/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Active,2305,151200,1,,30.14739824,-97.85166443
2015-056905 BP,R- 329 Res Structures Other Than Bldg,New,12408 LOSTWOOD CIR,5/14/2015,Inground swimming pool and spa w/ req'd enclosure device for existing 2 story SF res,Active,575,60000,1,"Lot: 8 Block: D Subdivision: BRIDGES AT BEAR CREEK PHASE 2, SEC 1 (AKA DAKOTA SPRINGS)",30.14740226,-97.85517592
2015-038275 BP,R- 101 Single Family Houses,New,2508 HOPSACK MILLS RD,4/10/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,3109,180800,1,,30.14747252,-97.85186262
2015-069074 BP,R- 101 Single Family Houses,New,12508 GRAY CAMLET LN,6/15/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,2843,181600,1,,30.14752422,-97.85157762
2015-069005 BP,R- 101 Single Family Houses,New,12509 GRAY CAMLET LN,6/15/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3109,180800,1,,30.14759456,-97.85111734
2015-033339 BP,R- 101 Single Family Houses,New,12505 GRAY CAMLET LN,4/15/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,2183,152400,1,,30.14776842,-97.85111544
2015-040712 BP,R- 101 Single Family Houses,New,2601 GRAY CAMLET CT,4/13/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3044,181600,1,,30.14826055,-97.85333681
2015-145708 BP,R- 101 Single Family Houses,New,12528 GRAY CAMLET LN,12/14/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio, covered balcony. **CONDOMINIUM RESIDENCE**",Active,2521,159100,1,,30.1485531,-97.8526413
2015-145709 BP,R- 101 Single Family Houses,New,12424 GRAY CAMLET LN,12/14/2015,"***12/10/15 Via e-mail need money in escrow account***New 2-story Condominium Residence with attached garage, covered entry porch and patio, covered balcony. **CONDOMINIUM RESIDENCE**",Active,2531,159100,1,,30.1485531,-97.8526413
2015-014100 BP,R- 101 Single Family Houses,New,9016 NORWICH CASTLE DR,2/10/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Final,3454,159390,1,,30.14858323,-97.74355461
2015-012401 BP,R- 101 Single Family Houses,New,9009 RIDGEWELL RD,2/4/2015,"New 2-story single-family residence, attached garage, covered porch and rear patio.",Withdrawn,2595,112090,1,,30.14891347,-97.74546626
2015-049555 BP,R- 101 Single Family Houses,New,9009 RIDGEWELL RD,4/29/2015,"**VOL BUILD PROJECT** **SMART HOUSE** New 1-story single-family residence, attached garage, covered porch and uncovered patio.",Final,1775,80400,1,,30.14891347,-97.74546626
2015-008597 BP,R- 101 Single Family Houses,New,8913 RIDGEWELL RD,2/3/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Final,1844,84415,1,,30.14959896,-97.74516808
2015-032943 BP,R- 101 Single Family Houses,New,8912 RIDGEWELL RD,3/27/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Final,2477,112090,1,,30.14975522,-97.74547049
2015-014165 BP,R- 101 Single Family Houses,New,8908 RIDGEWELL RD,2/10/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Final,2905,132605,1,,30.14984709,-97.74541206
2015-050738 BP,R- 329 Res Structures Other Than Bldg,New,12404 MOSSBACK CV,5/7/2015,Inground swimming pool w/ req'd enclosure device for existing 2 story SF res,Active,375,62000,1,"Lot: 42 Block: B Subdivision: BARKER RANCH AT SHADY HOLLOW, THE",30.15018557,-97.86062601
2015-109884 BP,R- 329 Res Structures Other Than Bldg,New,10909 SEA HERO LN,9/15/2015,Inground swimming pool w/ req'd enclosure device for existing 1 story SF res,Active,265,20000,0,Lot: 79 Block: A Subdivision: STABLEWOOD AT SLAUGHTER CREEK SEC 6,30.15039238,-97.80996591
2015-153317 BP,R- 101 Single Family Houses,New,7212 GARNET MILL LN,12/31/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,3373,229364,1,ABS 24 DELVALLE S ACR 88.2533 (1-D-1),30.1518321,-97.8388246
2015-042281 BP,R- 329 Res Structures Other Than Bldg,New,10317 ANAHUAC TRL,5/1/2015,Inground swimming pool & spa w/ req'd enclosure device for existing 2 story SF res,Active,430,50000,1,Lot: 8 Block: J Subdivision: PARKSIDE AT SLAUGHTER CREEK SECTION 5,30.152296,-97.785631
2015-100537 BP,R- 329 Res Structures Other Than Bldg,New,10101 BIG THICKET DR,8/20/2015,Inground swimming pool w/ req'd enclosure for existing 1 story SF res,Active,368,25000,0,Lot: 1 Block: J Subdivision: PARKSIDE AT SLAUGHTER CREEK SECTION 3,30.1532468,-97.78576668
2015-041957 BP,R- 101 Single Family Houses,New,6304 BUMPSTEAD DR,4/13/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Final,3003,144780,1,"Lot: 25 Block: X Subdivision: SHELDON 230 SECTION 1, PHASE 2 (SMART HOUSING)",30.15345153,-97.74675701
2015-014285 BP,R- 101 Single Family Houses,New,6300 BUMPSTEAD DR,2/10/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Final,3003,132715,1,"Lot: 26 Block: X Subdivision: SHELDON 230 SECTION 1, PHASE 2 (SMART HOUSING)",30.15351839,-97.74691074
2015-061475 BP,C- 329 Com Structures Other Than Bldg,New,11410 MANCHACA RD,5/26/2015,New Construction of Fuel Island Canopy,Active,2544,378000,1,LOT 1 BLK A OFLP3 SUBD,30.1541954,-97.83375234
2015-126239 BP,R- 101 Single Family Houses,New,11812 MORNING VIEW DR,10/23/2015,"New SF res; 3 bedrms, 2 bathrms, covered garage.",Active,1795.6,66000,1,Lot: 16 Block: I Subdivision: STONEY RIDGE SECTION 5-B,30.15437084,-97.64774719
2015-044629 BP,R- 101 Single Family Houses,New,7309 MORNING VIEW CT,4/30/2015,"New single family residential: One story 3 bedroom, 2 bath",Active,1951,90000,1,Lot: 34 Block: H Subdivision: STONEY RIDGE SECTION 5-B,30.15467378,-97.64914973
2015-044618 BP,R- 101 Single Family Houses,New,7305 MORNING VIEW CT,4/30/2015,"New single family residential 1 story 3 bedroom, 2 bath, 2 car garage.",Active,1877,90000,1,Lot: 33 Block: H Subdivision: STONEY RIDGE SECTION 5-B,30.15483763,-97.6490909
2015-041955 BP,R- 101 Single Family Houses,New,7308 MORNING VIEW CT,4/14/2015,"New single family residential: 1 story 3 bedroom, 2 bathroom.",Active,1872,90000,1,Lot: 39 Block: H Subdivision: STONEY RIDGE SECTION 5-B,30.15500384,-97.64959643
2015-073930 BP,R- 329 Res Structures Other Than Bldg,New,8704 ALUM ROCK DR,6/19/2015,Above ground swimming pool w/ req'd enclosure device for existing 2 story SF res,Final,288,6800,0,LOT 5 BLK V SHELDON 230 SEC 1 PHS 1,30.15605981,-97.74396711
2015-149167 BP,R- 329 Res Structures Other Than Bldg ,New,11806 ALLWOOD PATH,12/17/2015,Inground swimming pool w/req'd enclosure device for existing 2 story SF res,Active,600,54000,0,Lot: 8 Block: G Subdivision: SOUTHLAND OAKS SEC 3-B,30.156779,-97.857027
2015-131710 BP,R- 329 Res Structures Other Than Bldg ,New,11208 CURRIN LN,11/3/2015,Inground swimming pool w/ req\'d enclosure device for existing 1 story SF res,Active,349,30000,0,Lot: 12 Block: C Subdivision: HILLCREST PHASE 2,30.15744413,-97.84478774
2015-119546 BP,R- 101 Single Family Houses,New,6904 HORSESHOE POND DR,10/2/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT**",Active,3546,188370,1,LOT 12 BLK A STONEY RIDGE PHS C SEC 1,30.15888477,-97.63461923
2015-112455 BP,R- 101 Single Family Houses,New,6900 HORSESHOE POND DR,9/17/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT**",Active,2608,130620,1,LOT 11 BLK A STONEY RIDGE PHS C SEC 1,30.15898937,-97.63454128
2015-037638 BP,R- 101 Single Family Houses,New,12405 STONEY RIDGE BND,4/6/2015,"New 1-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Final,1933,90960,1,LOT 10 BLK A STONEY RIDGE PHS C SEC 1,30.15906762,-97.63481697
2015-038922 BP,R- 101 Single Family Houses,New,12401 STONEY RIDGE BND,4/7/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Final,2407,113700,1,LOT 9 BLK A STONEY RIDGE PHS C SEC 1,30.15912376,-97.63495989
2015-067568 BP,R- 101 Single Family Houses,New,6821 HORSESHOE POND DR,6/5/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Final,3454,173880,1,,30.15917614,-97.63389418
2015-037648 BP,R- 101 Single Family Houses,New,6824 HORSESHOE POND DR,4/6/2015,"New 1-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Final,1933,90960,1,LOT 30 BLK C STONEY RIDGE PHS C SEC 1,30.1592592,-97.63439759
2015-074210 BP,R- 329 Res Structures Other Than Bldg,New,2809 SCOTIA BLUFF LOOP,6/29/2015,Inground swimming pool & spa w/ req'd enclosure device for existing 1 story SF res,Active,462,50000,0,Lot: 5 Block: EE Subdivision: ESTATES OF BAUERLE RANCH,30.1592738,-97.8494273
2015-071491 BP,R- 101 Single Family Houses,New,6817 HORSESHOE POND DR,6/12/2015,"New 1-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Withdrawn,1933,100960,1,,30.15927833,-97.6338163
2015-083913 BP,R- 101 Single Family Houses,New,6817 HORSESHOE POND DR,7/14/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT**",Active,2214,106640,1,,30.15927833,-97.6338163
2015-064294 BP,R- 101 Single Family Houses,New,6820 HORSESHOE POND DR,6/1/2015,"New 1-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2012,96460,1,LOT 29 BLK C STONEY RIDGE PHS C SEC 1,30.15937357,-97.63432492
2015-048546 BP,R- 101 Single Family Houses,New,6821 MOORES FERRY DR,4/27/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Final,3018,153660,1,LOT 1 BLK C STONEY RIDGE PHS C SEC 1,30.15941621,-97.63471993
2015-104173 BP,R- 101 Single Family Houses,New,12309 STONEY RIDGE BND,8/31/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT**",Active,2106,101640,1,LOT 4 BLK A STONEY RIDGE PHS C SEC 1,30.15947102,-97.63562543
2015-150294 BP,R- 101 Single Family Houses,New,6816 HORSESHOE POND DR,12/17/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,2666,141505,1,LOT 28 BLK C STONEY RIDGE PHS C SEC 1,30.1594991,-97.6339614
2015-027077 BP,R- 101 Single Family Houses,New,6817 MOORES FERRY DR,3/16/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Final,2169,110585,1,LOT 2 BLK C STONEY RIDGE PHS C SEC 1,30.15953167,-97.63465819
2015-083933 BP,R- 101 Single Family Houses,New,12305 STONEY RIDGE BND,7/14/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT**",Active,2165,105460,1,LOT 3 BLK A STONEY RIDGE PHS C SEC 1,30.15953434,-97.63576538
2015-027004 BP,R- 101 Single Family Houses,New,6813 MOORES FERRY DR,3/17/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Final,2396,104060,1,LOT 3 BLK C STONEY RIDGE PHS C SEC 1,30.15964126,-97.63458578
2015-060852 BP,R- 101 Single Family Houses,New,12320 STONEY RIDGE BND,5/22/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2666,130620,1,LOT 19 BLK D STONEY RIDGE PHS C SEC 1,30.15964708,-97.63504254
2015-026958 BP,R- 101 Single Family Houses,New,6809 MOORES FERRY DR,3/17/2015,"New 2-story single-family residence, attached garage, covered porch.",Final,2961,132660,1,LOT 4 BLK C STONEY RIDGE PHS C SEC 1,30.15975475,-97.63451976
2015-142401 BP,R- 101 Single Family Houses,New,12312 STONEY RIDGE BND,11/30/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2214,110110,1,LOT 21 BLK D STONEY RIDGE PHS C SEC 1,30.15976842,-97.63530036
2015-104867 BP,R- 101 Single Family Houses,New,6805 MOORES FERRY DR,8/31/2015,"New 2-story single-family residence, attached garage, covered porch and uncovered patio.",Active,2407,113700,1,LOT 5 BLK C STONEY RIDGE PHS C SEC 1,30.15986075,-97.63445612
2015-111397 BP,R- 101 Single Family Houses,New,12300 STONEY RIDGE BND,9/16/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT**",Active,2766,141500,1,LOT 24 BLK D STONEY RIDGE PHS C SEC 1,30.1599406,-97.63567902
